titreCommercial;realisateur;visa;mention;paysOrigine;dateSortie
"LES HOMMES DU PRESIDENT";"Alan j PAKULA";"45673";"Tous publics";"ETATS-UNIS";"22/09/1976"
"OBSCENE STORY";"Henri SALA";"45980";"Classement X (pornographique)";"FRANCE";"01/09/1976"
"OBSESSION SEXUELLE";"Juan FORTUNY";"41520";"Tous publics";"ESPAGNE, FRANCE";"29/09/1976"
"OTALIA DE BAHIA";"Marcel CAMUS";"45230";"Tous publics";"BRÉSIL, FRANCE";"21/09/1976"
"POUR PAQUES OU A LA TRINITA";"Guliano CARNIMEO";"46082";"Tous publics";"ITALIE";"22/09/1976"
"SHOCKING";"Claude MULOT";"44795";"Classement X (pornographique)";"FRANCE";"01/09/1976"
"SUPER WOMAN";"Christian GION";"44722";"Interdiction aux mineurs -16 ans";"FRANCE";"22/09/1976"
"TRENTE JOURS EN PRISON";"Moustapha NIAZI";"45232";"Tous publics";"EGYPTE";"02/09/1976"
"TRINITA EN VEUX TU EN VOILA";"Frank KRAMER";"45640";"Tous publics";"ITALIE";"01/09/1976"
"UN ELEPHANT CA TROMPE ENORMEMENT";"Yves ROBERT";"44918";"Tous publics";"FRANCE";"22/09/1976"
"UN TYPE COMME MOI NE DEVRAIT JAMAIS MOURIR";"Michel VIANEY";"45710";"Tous publics";"FRANCE";"01/09/1976"
"UNE MINUTE D OBSCURITE NE NOUS AVEUGLE PAS";"Scheumann HEYNOWSKI";"46461";"Tous publics";"ALLEMAGNE (EX R,D,A)";"15/09/1976"
"UNE VIE DIFFICILE";"Dino RISI";"47206";"Tous publics";"ITALIE";"22/09/1976"
"ZELDA";"Alberto VAVALLONE";"45080";"Interdiction aux mineurs -16 ans";"ITALIE";"01/09/1976"
"7 HOMMES DE BRONZE";"Te hsien YEH";"46488";"Interdiction aux mineurs -16 ans";"HONG KONG";"27/10/1976"
"AFRICA EXPRESS";"Michele LUPO";"45425";"Tous publics";"ITALIE";"06/10/1976"
"AMOURS COLLECTIVES";"Jean ROLLIN";"45720";"Classement X (pornographique)";"FRANCE";"13/10/1976"
"BLUFF";"Sergio CORBUCCI";"46415";"Tous publics";"ITALIE";"27/10/1976"
"BOBBY";"Kapoor RAJ";"44282";"Tous publics";"INDE";"20/10/1976"
"BUCKTOWN OEIL DE FAUCON";"Arthur MARKS";"45850";"Interdiction aux mineurs -16 ans";"ETATS-UNIS";"20/10/1976"
"CARESSES BRULANTES AU TROPIQUE DU CANCER";"Giampalo LOMI";"41037";"Interdiction aux mineurs -16 ans";"ITALIE";"13/10/1976"
"CIAO MANHATTAN";"David WEISMAN";"43603";"Tous publics";"ETATS-UNIS";"13/10/1976"
"CROSSFINGER";"Maurizio LUCIDI";"45938";"Tous publics";"ITALIE";"27/10/1976"
"DEBOUT LES DAMNES DE LA TERRE";"Toshumur KIMISABUERO";"44601";"Tous publics";"JAPON";"12/10/1976"
"DEBUTANTES EN CHALEUR";"Joel GOLDENBERG";"45083";"Classement X (pornographique)";"ETATS-UNIS";"27/10/1976"
"ECHANGES DE PARTENAIRES";"Claude MULOT";"45958";"Classement X (pornographique)";"FRANCE";"20/10/1976"
"ESPION MALGRE LUI";"Moustapha NIAZI";"46022";"Tous publics";"EGYPTE";"27/10/1976"
"FOXY BROWN";"Jack HILL";"44621";"Interdiction aux mineurs -16 ans";"ETATS-UNIS";"13/10/1976"
"GODZILLA 1980";"Jun FUKUDA";"46583";"Tous publics";"JAPON";"27/10/1976"
"HAMBOURG QUARTIER DU PECHE";"Arnold MILLER";"46181";"Classement X (pornographique)";"GRANDE-BRETAGNE";"06/10/1976"
"HOLD UP";"German LORENTE";"42687";"Interdiction aux mineurs -12 ans";"ESPAGNE, FRANCE, ITALIE";"20/10/1976"
"JEUX D ADULTES";"Lindsay SHONTEFF";"42849";"Interdiction aux mineurs -16 ans";"GRANDE-BRETAGNE";"21/10/1976"
"JOSEY WALES HORS LA LOI";"Clint EASTWOOD";"46451";"Tous publics";"ETATS-UNIS";"20/10/1976"
"JULIETTE ET L AIR DU TEMPS";"Rene GILSON";"45719";"Interdiction aux mineurs -12 ans";"FRANCE";"05/10/1976"
"KUNG FU A SHAO LIN";"Chang HO";"46000";"Tous publics";"HONG KONG";"13/10/1976"
"L AILE OU LA CUISSE";"Claude ZIDI";"45950";"Tous publics";"FRANCE";"21/10/1976"
"L AMOUR S EN VA";"Helmi RAFLA";"45653";"Tous publics";"EGYPTE";"08/10/1976"
"LA DERNIERE FOLIE";"Mel BROOKS";"46483";"Tous publics";"ETATS-UNIS";"13/10/1976"
"LA DUCHESSE ET LE TRUAND";"Melvin FRANK";"46453";"Tous publics";"ETATS-UNIS";"13/10/1976"
"LAURE";"Emmanuelle ARSAN";"45271";"Interdiction aux mineurs -16 ans";"FRANCE, ITALIE";"06/10/1976"
"LE CORPS DE MON ENNEMI";"Henri VERNEUIL";"45555";"Tous publics";"FRANCE";"12/10/1976"
"LE GRAND SOIR";"Francis REUSSER";"44935";"Tous publics";"FRANCE, SUISSE";"27/10/1976"
"LE JARDIN DE PIERRE";"Parviz KIMIAVI";"47010";"Tous publics";"IRAN";"25/10/1976"
"LE JARDIN DES SUPPLICES";"Christian GION";"44958";"Interdiction aux mineurs -16 ans";"FRANCE";"06/10/1976"
"LE LOTUS D OR";"Bhatt NANABHAI";"46544";"Tous publics";"INDE";"31/10/1976"
"LE MARIN QUI ABANDONNA LA MER";"John lewis CARLINO";"46046";"Interdiction aux mineurs -16 ans";"ETATS-UNIS";"06/10/1976"
"LE SEXE AU VENTRE";"Erwin c DIETRICH";"44540";"Classement X (pornographique)";"SUISSE";"27/10/1976"
"LE TRIANGLE D OR";"Ma WU";"46467";"Tous publics";"THAÏLANDE";"06/10/1976"
"LES DOUZE TRAVAUX D ASTERIX";"Uderzo GOSCINNY";"43560";"Tous publics";"FRANCE";"20/10/1976"
"LES NAUFRAGES DE L ILE DE LA TORTUE";"Jacques ROZIER";"42367";"Tous publics";"FRANCE";"06/10/1976"
"LES TROIS FOUS";"El seifi HASSAN";"46023";"Tous publics";"EGYPTE";"08/10/1976"
"LETTRE PAYSANNE";"Faye SAFI";"46129";"Tous publics";"SÉNÉGAL";"20/10/1976"
"MADO";"Claude SAUTET";"42112";"Tous publics";"FRANCE, ITALIE";"26/10/1976"
"MISSOURI BREAKS";"Arthur PENN";"46291";"Interdiction aux mineurs -12ans avec avertissement";"ETATS-UNIS";"20/10/1976"
"MOI PIERRE RIVIERE AYANT EGORGE MA MERE MA SOEUR ET MON FRERE";"Rene ALLIO";"44893";"Tous publics";"FRANCE";"24/10/1976"
"MR KLEIN";"Joseph LOSEY";"41623";"Tous publics";"FRANCE, ITALIE";"19/10/1976"
"NUIT D OR";"Serge MOATI";"45316";"Interdiction aux mineurs -12 ans";"ALLEMAGNE, FRANCE";"17/10/1976"
"NUITS EN CUIR NOIR";"Abel RICHARD";"46380";"Classement X (pornographique)";"ETATS-UNIS";"27/10/1976"
"ORESTIE AFRICAINE";"Pier Paolo PASOLINI";"46655";"Tous publics";"ITALIE";"27/10/1976"
"POUR QUELQUE CHOSE DE PLUS";"Jacques HUBINET";"46447";"Tous publics";"FRANCE";"06/10/1976"
"SARTRE PAR LUI MEME";"Contat ASTRUC";"46179";"Tous publics";"FRANCE";"27/10/1976"
"SEXE HOTEL";"Bernard LAUNOIS";"46304";"Interdiction aux mineurs -16 ans";"FRANCE";"15/10/1976"
"SHEBA BABY";"William GIRDLER";"44567";"Tous publics";"ETATS-UNIS";"06/10/1976"
"SI C ETAIT A REFAIRE";"Claude LELOUCH";"46105";"Tous publics";"FRANCE";"27/10/1976"
"SPERMOSPLOSIF";"Billy THORNBERG";"44931";"Classement X (pornographique)";"ETATS-UNIS";"27/10/1976"
"UN CERTAIN JOUR";"Ermanno OLMI";"46448";"Tous publics";"ITALIE";"27/10/1976"
"ADIEU L AFRIQUE";"";"32013";"Interdiction aux mineurs -12 ans";"ITALIE";"01/12/1976"
"APOTHEOSE PORNO";"Michel GAND";"46176";"Classement X (pornographique)";"FRANCE";"17/11/1976"
"ARRETE LE MASSACRE SHING GIEN";"Shen KAO";"46508";"Interdiction aux mineurs -12 ans";"HONG KONG";"24/11/1976"
"CHAC";"Rolando KLEIN";"46326";"Tous publics";"ETATS-UNIS";"24/11/1976"
"DEFIANCE";"Jason RUSSEL";"44919";"Classement X (pornographique)";"ETATS-UNIS";"10/11/1976"
"DU COTE DES TENNIS";"Madeleine HARTMANN";"45985";"Tous publics";"FRANCE";"03/11/1976"
"EDVARD MUNCH LA DANSE DE LA VIE";"Peter WATKINS";"46612";"Tous publics";"SUÈDE";"24/11/1976"
"JONAS QUI AURA 25 ANS EN L AN 2000";"Alain TANNER";"45442";"Tous publics";"FRANCE, SUISSE";"01/12/1976"
"KING KONG";"John GUILLERMIN";"45994";"Tous publics";"ETATS-UNIS";"05/11/1976"
"L HEROINE DU TRIANGLE";"Marianne LAMOUR";"46736";"Tous publics";"FRANCE";"24/11/1976"
"L INNOCENCE IMPUDIQUE";"Roy dit pat aubin JC";"46008";"Interdiction aux mineurs -16 ans";"FRANCE";"24/11/1976"
"L INVASION DES ARAIGNEES GEANTES";"Bill REBANE";"46456";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"24/11/1976"
"L OPIUM ET LE BATON";"Ahmed RACHEDI";"44821";"Tous publics";"ALGÉRIE";"26/11/1976"
"LA MALEDICTION";"Richard DONNER";"46428";"Interdiction aux mineurs -12 ans";"GRANDE-BRETAGNE";"05/11/1976"
"LA PREMIERE FOIS";"Claude BERRI";"46264";"Interdiction aux mineurs -12 ans";"FRANCE";"01/12/1976"
"LE BOUCHE TROU";"Roy dit pat aubin JC";"44273";"Classement X (pornographique)";"FRANCE";"10/11/1976"
"LE COMMANDO DES BRAVES";"Jose luis MERINO";"45544";"Tous publics";"ITALIE";"17/11/1976"
"LE COUP DE GRACE";"Volker SCHLONDORFF";"45671";"Tous publics";"ALLEMAGNE, FRANCE";"17/11/1976"
"LE GRAND ESCOGRIFFE";"Claude PINOTEAU";"45844";"Tous publics";"FRANCE, ITALIE";"01/12/1976"
"LE GRAPHIQUE DE BOSCOP";"Dumoulin SOTHA";"46182";"Tous publics";"FRANCE";"30/11/1976"
"LES ADOLESCENTS";"Moustapha NIAZI";"44529";"Interdiction aux mineurs -12 ans";"EGYPTE";"17/11/1976"
"LES JEUX TERRIBLES SERIE LES JEUX OLYMPIQUES";"John BADHAM";"45575";"Tous publics";"ETATS-UNIS";"17/11/1976"
"LEVRES HUMIDES";"Roussan bertrand DE";"46386";"Classement X (pornographique)";"FRANCE";"17/11/1976"
"LIN CHIN LE VAGABOND INVINCIBLE";"Tchen WU";"45864";"Tous publics";"HONG KONG";"03/11/1976"
"MONSIEUR ST YVES";"Thompson jack LEE";"46414";"Tous publics";"ETATS-UNIS";"01/12/1976"
"PARTIES RAIDES";"Jean DESVILLES";"46338";"Classement X (pornographique)";"FRANCE";"01/12/1976"
"PERVERSIONS";"Peter RAFAEL";"45794";"Classement X (pornographique)";"FRANCE";"01/12/1976"
"SUGAR HILL";"Paul MASLANSKY";"44624";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"10/11/1976"
"TARZAN 303";"Drakant CHAN";"46541";"Tous publics";"INDE";"05/11/1976"
"UN CADAVRE AU DESSERT";"Robert MOORE";"46417";"Tous publics";"ETATS-UNIS";"10/11/1976"
"UNE FEMME A SA FENETRE";" Pierre GRANIER DEFERRE";"45885";"Tous publics";"ALLEMAGNE, FRANCE, ITALIE";"02/11/1976"
"VICIEUSE AMANDINE";"Robert RENZULLI";"45783";"Classement X (pornographique)";"FRANCE";"10/11/1976"
"VOYAGE AU BOUT DU MONDE";"Lissac COUSTEAU";"44892";"Tous publics";"FRANCE";"17/11/1976"
"WINSTANLEY";"Kevin BROWNLOW";"46099";"Tous publics";"GRANDE-BRETAGNE";"03/11/1976"
"ABBY";"William GIRDLER";"46718";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"15/12/1976"
"ADIEU L AFRIQUE";"";"32013";"Interdiction aux mineurs -12 ans";"ITALIE";"01/12/1976"
"AFFREUX SALES ET MECHANTS";"Ettore SCOLA";"46241";"Tous publics";"ITALIE";"15/12/1976"
"AMBULANCES TOUS RISQUES";"Peter YATES";"46789";"Tous publics";"ETATS-UNIS";"22/12/1976"
"BARROCO";"André TECHINE";"45677";"Tous publics";"FRANCE";"08/12/1976"
"CASANOVA UN ADOLESCENT A VENISE";"Luigi COMENCINI";"39378";"Tous publics";"ITALIE";"07/12/1976"
"COUPLE DEBUTANT CHERCHE COUPLE INITIE";"Joyce PIERSON";"46419";"Classement X (pornographique)";"FRANCE";"15/12/1976"
"CROC BLANC ET LES CHERCHEURS D OR";"Alfonso BRESCIA";"45960";"Tous publics";"ITALIE";"15/12/1976"
"DEBORDEMENTS DE PLAISIR";"Alain NAUROY";"45756";"Interdiction aux mineurs -16 ans";"FRANCE";"29/12/1976"
"ENLEVE TON SLIP";"Joseph w SARNO";"46855";"Classement X (pornographique)";"ETATS-UNIS";"15/12/1976"
"HISTOIRE DE CAMILLIA";"Radley METZGER";"46253";"Tous publics";"ETATS-UNIS";"08/12/1976"
"JONAS QUI AURA 25 ANS EN L AN 2000";"Alain TANNER";"45442";"Tous publics";"FRANCE, SUISSE";"01/12/1976"
"KARATE HOLD UP ET DOIGTS D ACIER";"Heop FONG";"46738";"Interdiction aux mineurs -16 ans";"TAIWAN";"08/12/1976"
"L AGE DE CRISTAL";"Michael ANDERSON";"46460";"Tous publics";"ETATS-UNIS";"22/12/1976"
"L EMPRISE DE LA MAIN NOIRE";"Antonio RACCIOPPI";"42554";"Interdiction aux mineurs -12 ans";"ITALIE";"25/12/1976"
"L HOTEL DU BONHEUR";"Abdel wahal FATINE";"45652";"Tous publics";"EGYPTE";"16/12/1976"
"LA BANANE NOIRE";"Benjamin HAYEEM";"46890";"Tous publics";"ISRAËL";"22/12/1976"
"LA BENEDICTION DE NAG DEVTA";"Shantilal SONI";"46542";"Tous publics";"INDE";"02/12/1976"
"LA PREMIERE FOIS";"Claude BERRI";"46264";"Interdiction aux mineurs -12 ans";"FRANCE";"01/12/1976"
"LA TOUBIB DU REGIMENT";"Nando CICERO";"46825";"Tous publics";"ITALIE";"29/12/1976"
"LA VOIE";"Riad mohamed SLIM";"44812";"Tous publics";"ALGÉRIE";"12/12/1976"
"LE CHASSEUR DE CHEZ MAXIM S";"Claude VITAL";"46087";"Tous publics";"FRANCE";"15/12/1976"
"LE DESIR ET LA CORRUPTION";"Ivan PASSER";"47270";"Tous publics";"ETATS-UNIS";"07/12/1976"
"LE GRAND ESCOGRIFFE";"Claude PINOTEAU";"45844";"Tous publics";"FRANCE, ITALIE";"01/12/1976"
"LE JOUET";"Francis VEBER";"46262";"Tous publics";"FRANCE";"08/12/1976"
"LE JOUR DE GLOIRE";"Jacques BESNARD";"42581";"Tous publics";"ALLEMAGNE, FRANCE";"08/12/1976"
"LE KARATE DE LA DERNIERE CHANCE";"Li cheong PROI";"46952";"Interdiction aux mineurs -16 ans";"TAIWAN";"29/12/1976"
"LE TRESOR DE L ATLAS";"James REED";"43553";"Tous publics";"ITALIE";"29/12/1976"
"LES HORS LA LOI";"Tewfik FARES";"44817";"Tous publics";"ALGÉRIE";"20/12/1976"
"LES PLAISIRS SOLITAIRES";"Francis LEROI";"46366";"Classement X (pornographique)";"FRANCE";"22/12/1976"
"LETTRE AU BON DIEU";"Attia KAMAL";"46800";"Tous publics";"EGYPTE";"22/12/1976"
"LIP 73 74 LE GOUT DU COLLECTIF";"Dominique DUBOSC";"45855";"Tous publics";"FRANCE";"15/12/1976"
"LOUP GAROU A WASHINGTON";"Milton moses GINSBERG";"46586";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"02/12/1976"
"MARATHON MAN";"John SCHLESINGER";"46731";"Interdiction aux mineurs -16 ans";"ETATS-UNIS";"22/12/1976"
"MIRELLA";"Paul PARASHAKIS";"44366";"Interdiction aux mineurs -16 ans";"GRÈCE";"10/12/1976"
"MONSIEUR ST YVES";"Thompson jack LEE";"46414";"Tous publics";"ETATS-UNIS";"01/12/1976"
"PARTIES RAIDES";"Jean DESVILLES";"46338";"Classement X (pornographique)";"FRANCE";"01/12/1976"
"PATROUILLE A L EST";"Amar LASKRI";"44815";"Tous publics";"ALGÉRIE";"15/12/1976"
"PERVERSIONS";"Peter RAFAEL";"45794";"Classement X (pornographique)";"FRANCE";"01/12/1976"
"PROJECTIONS SPECIALES";"Belle jean louis VAN";"45303";"Classement X (pornographique)";"FRANCE";"29/12/1976"
"PUCELAGE MON DOUX OISEAU";"";"44630";"Classement X (pornographique)";"ETATS-UNIS";"22/12/1976"
"RED";"Gilles CARLE";"46360";"Interdiction aux mineurs -12 ans";"CANADA";"15/12/1976"
"UN MARI C EST UN MARI";"Serge FRIEDMAN";"46252";"Tous publics";"FRANCE";"15/12/1976"
"UN REVE PLUS LONG QUE LA NUIT";"Niki DE SAINT PHALLE";"45136";"Interdiction aux mineurs -12 ans";"FRANCE";"08/12/1976"
"VARIATIONS POUR LE PLAISIR";"Roberta FINDLAY";"43617";"Classement X (pornographique)";"ETATS-UNIS";"08/12/1976"
"VICTOIRE A ENTEBBE";"Marvin CHOMSKY";"46774";"Tous publics";"ETATS-UNIS";"22/12/1976"
"AU LONG DE RIVIERE FANGO";"Catherine SOTHA";"43117";"Tous publics";"FRANCE";"15/01/1975"
"C EST PAS PARCE QU ON A RIEN A DIRE QU IL FAUT FERMER SA GUEULE";"Jacques BESNARD";"43089";"Tous publics";"FRANCE";"22/01/1975"
"CE COCHON DE PAOLO";"Marco VICARIO";"43047";"Interdiction aux mineurs -16 ans";"ITALIE";"10/01/1975"
"COMMENT SE DISTRAIRE QUAND ON EST COCU MAIS INTELLIGENT";"Charles LECOQ";"43372";"Classement X (pornographique)";"FRANCE";"22/01/1975"
"DIONYSOS NOIR";"Roger GARAUDY";"41248";"Tous publics";"FRANCE";"08/01/1975"
"DU SANG POUR DRACULA";"Paul MORRISSEY";"42041";"Interdiction aux mineurs -16 ans";"ITALIE";"22/01/1975"
"FEMMES VICIEUSES";"Claude CACHOUX";"42664";"Interdiction aux mineurs -16 ans";"FRANCE";"08/01/1975"
"FRIC FRAC RUE DES DIAMS";"Aram AVAKIAN";"43511";"Tous publics";"ETATS-UNIS";"22/01/1975"
"GODFINGER OU CERTAINES CHATTES N AIMENT PAS LE MOU";"Jean pierre FOUGEA";"42580";"Classement X (pornographique)";"FRANCE";"01/01/1975"
"HARRY ET TONTO";"Paul MAZURSKY";"43614";"Tous publics";"ETATS-UNIS";"17/01/1975"
"IL ETAIT UNE FOIS A HOLLYWOOD";"Jack HALEY";"43188";"Tous publics";"ETATS-UNIS";"03/01/1975"
"IL PLEUT TOUJOURS OU C EST MOUILLE";"Jean daniel SIMON";"42108";"Tous publics";"FRANCE";"21/01/1975"
"KENDO CONNECTION";"Rynichi TAKAMORI";"43599";"Interdiction aux mineurs -12 ans";"JAPON";"08/01/1975"
"L ARCHISEXE";"Patrice RHOM";"42881";"Classement X (pornographique)";"BELGIQUE, FRANCE";"22/01/1975"
"L EMPREINTE DE DRACULA";"Carlos AURED";"43466";"Interdiction aux mineurs -12 ans";"ESPAGNE";"08/01/1975"
"L HOMME DU CLAN";"Terence YOUNG";"43527";"Interdiction aux mineurs -16 ans";"ETATS-UNIS";"15/01/1975"
"L HOMME DU FLEUVE";"Jean pierre PREVOST";"41279";"Tous publics";"FRANCE";"08/01/1975"
"LA BRUTE LE COLT ET LE KARATE";"Antonio MARGHERITI";"43444";"Tous publics";"ITALIE";"29/01/1975"
"LA CHAIR DE L ORCHIDEE";"Patrice CHEREAU";"42666";"Interdiction aux mineurs -12 ans";"ALLEMAGNE, FRANCE, ITALIE";"29/01/1975"
"LA CHAISE VIDE";"Pierre JALLAUD";"41814";"Tous publics";"FRANCE";"29/01/1975"
"LA NUIT DE LA GRANDE CHALEUR";"Lawson MERROW";"42497";"Interdiction aux mineurs -12 ans";"GRANDE-BRETAGNE";"22/01/1975"
"LA TARTE VOLANTE";"Lino DEL FRA";"43650";"Tous publics";"ITALIE";"15/01/1975"
"LA VENGEANCE DU ZOMBIE";"Manuel CANO";"40854";"Interdiction aux mineurs -12 ans";"ESPAGNE";"29/01/1975"
"LE BOUCHER LA STAR ET L ORPHELINE";"Jerome SAVARY";"41938";"Interdiction aux mineurs -12 ans";"FRANCE";"28/01/1975"
"LE DOSSIER ODESSA";"Ronald NEAME";"43685";"Tous publics";"ALLEMAGNE";"22/01/1975"
"LE GRAND OCEAN";"Daniel MILLET";"43738";"Tous publics";"FRANCE";"08/01/1975"
"LE NOUVEL AMOUR DE COCCINELLE";"Vitarelli STEVENSON";"42915";"Tous publics";"ETATS-UNIS";"28/01/1975"
"LE SPECTRE D EDGAR ALLAN POE";"Mohy QUANDOUR";"43387";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"08/01/1975"
"LES 2 INTREPIDES DU KARATE";"Fung YUCH";"42819";"Interdiction aux mineurs -12 ans";"HONG KONG";"22/01/1975"
"LES ALLONGEES";"";"41649";"Classement X (pornographique)";"ALLEMAGNE";"15/01/1975"
"LES BUTINEUSES";"John WEERAN";"42890";"Classement X (pornographique)";"ALLEMAGNE";"22/01/1975"
"LES COQ DU VILLAGE";"Robert POURET";"43236";"Tous publics";"FRANCE";"22/01/1975"
"LES GRIFFES MORTELLES DU DRAGON";"Jun GALLARDO";"43067";"Interdiction aux mineurs -12 ans";"HONG KONG";"22/01/1975"
"LES MAINS DOUCES";"Mahmoud ZULFIKAR";"43012";"Tous publics";"EGYPTE";"22/01/1975"
"LES MONGOLS";"Parviz KIMIAVI";"43296";"Tous publics";"IRAN";"17/01/1975"
"MECANIQUE NATIONALE";"Luis ALCORIZA";"43763";"Tous publics";"MEXIQUE";"08/01/1975"
"OCCUPE TOI DE ZONZON";"";"41556";"Tous publics";"LIBAN";"15/01/1975"
"POLICES PARALLELES";"Bernard MARTINO";"41943";"Interdiction aux mineurs -16 ans";"ITALIE";"11/01/1975"
"SCENES DE LA VIE CONJUGALE";"Ingmar BERGMAN";"42937";"Tous publics";"SUÈDE";"22/01/1975"
"SERIEUX COMME LE PLAISIR";"Robert BENAYOUN";"43135";"Tous publics";"FRANCE";"14/01/1975"
"SEXORCISME";"Charles LECOQ";"42671";"Classement X (pornographique)";"BELGIQUE, FRANCE";"08/01/1975"
"TERREUR SUR LE BRITANNIC";"Richard LESTER";"43701";"Tous publics";"GRANDE-BRETAGNE";"08/01/1975"
"THOMAS";"Jean francois DION";"43221";"Tous publics";"FRANCE";"15/01/1975"
"UN CAS PARFAIT DE STRATEGIE CRIMINELLE";"Joseph WARREN";"40390";"Interdiction aux mineurs -12 ans";"ITALIE";"08/01/1975"
"UN LINCEUL N A PAS DE POCHES";"Jean-Pierre MOCKY";"42606";"Tous publics";"FRANCE";"29/01/1975"
"UNE PARTIE DE PLAISIR";"Claude CHABROL";"42589";"Tous publics";"FRANCE, ITALIE";"15/01/1975"
"ZIG ZIG";"Laszlo SZABO";"42889";"Interdiction aux mineurs -12 ans";"FRANCE, ITALIE";"01/01/1975"
"AGUIRRE LA COLERE DE DIEU";"Werner HERZOG";"44034";"Tous publics";"ALLEMAGNE";"26/02/1975"
"AU NOM DU PEUPLE ITALIEN";"Dino RISI";"41093";"Tous publics";"ITALIE";"12/02/1975"
"C EST BON POUR LA SANTE";"Claude MULOT";"43083";"Classement X (pornographique)";"FRANCE";"19/02/1975"
"CALIFORNIA SPLIT LES FLAMBEURS";"Robert ALTMAN";"43580";"Tous publics";"ETATS-UNIS";"12/02/1975"
"CHAINES DE VELOURS";"Henri BARAKAT";"43014";"Tous publics";"EGYPTE";"19/02/1975"
"CHINH SIANG LA PANTHERE JAUNE";"Ching chen YEANG";"43487";"Interdiction aux mineurs -12 ans";"HONG KONG";"26/02/1975"
"DREYFUS OU L INTOLERABLE VERITE";"Jean CHERASSE";"43105";"Tous publics";"FRANCE";"05/02/1975"
"DUPONT LA JOIE";"Yves BOISSET";"43280";"Tous publics";"FRANCE, ITALIE";"25/02/1975"
"ENQUETE DANS L IMPOSSIBLE";"Franck PERRY";"43078";"Tous publics";"ETATS-UNIS";"05/02/1975"
"FUREUR NOIRE";"Ivan DIXON";"43469";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"26/02/1975"
"HISTOIRE DE PAUL";"René FÉRET";"44327";"Tous publics";"FRANCE";"13/02/1975"
"INSIDE DAISY CLOVER";"Robert MULLIGAN";"43670";"Tous publics";"ETATS-UNIS";"05/02/1975"
"JEANNE LA FRANCAISE";"Carlos DIEGUES";"43053";"Tous publics";"BRÉSIL";"03/03/1975"
"JO LE FOU";"Carlo LIZZANI";"42585";"Interdiction aux mineurs -16 ans";"ETATS-UNIS";"19/02/1975"
"KARATE STORY";"Chai LIN";"43497";"Interdiction aux mineurs -16 ans";"TAIWAN";"26/02/1975"
"KARATEKA AU PAYS DE L EROTISME";"Fan HO";"42995";"Interdiction aux mineurs -16 ans";"HONG KONG";"19/02/1975"
"KUNG FU A LA POIGNE DE FER";"Chin chiang KWOK";"42976";"Interdiction aux mineurs -16 ans";"HONG KONG";"02/02/1975"
"L IMPLACABLE KARATEKA";"Sum CHEUNG";"43490";"Interdiction aux mineurs -12 ans";"HONG KONG";"28/02/1975"
"L IMPORTANT C EST D AIMER";"Andrzej ZULAWSKI";"42638";"Interdiction aux mineurs -12 ans";"ALLEMAGNE, FRANCE, ITALIE";"05/02/1975"
"LA BETE A PLAISIR";"Jack ANGEL";"43302";"Classement X (pornographique)";"FRANCE";"19/02/1975"
"LA COUPE A DIX FRANCS";"Philippe CONDROYER";"41820";"Tous publics";"FRANCE";"19/02/1975"
"LA GRANDE BOURGEOISE";"Mauro BOLOGNINI";"42651";"Tous publics";"FRANCE, ITALIE";"12/02/1975"
"LA MARIEE SANGLANTE";"Yicente ARANDA";"42616";"Interdiction aux mineurs -16 ans";"ESPAGNE";"12/02/1975"
"LE FANTOME DU PARADIS";"Brian DE PALMA";"43932";"Tous publics";"ETATS-UNIS";"07/02/1975"
"LE JARDIN DE TANTE ISABELLE";"Felipe CAZALS";"44099";"Interdiction aux mineurs -16 ans";"MEXIQUE";"05/02/1975"
"LE JEU AVEC LE FEU";"Alain ROBBE-GRILLET";"42602";"Interdiction aux mineurs -16 ans";"FRANCE, ITALIE";"18/02/1975"
"LE MALE DU SIECLE";"Claude BERRI";"43286";"Interdiction aux mineurs -16 ans";"FRANCE";"01/03/1975"
"LE MONASTERE DES VAUTOURS";"Villar f DEL";"43727";"Tous publics";"MEXIQUE";"05/02/1975"
"LE MONSTRE EST VIVANT";"Larry COHEN";"43283";"Interdiction aux mineurs -16 ans";"ETATS-UNIS";"21/02/1975"
"LES 7 VAMPIRES D OR";"";"43674";"Interdiction aux mineurs -12 ans";"GRANDE-BRETAGNE";"12/02/1975"
"LES ANGES GARDIENS";"Richard RUSH";"42709";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"05/02/1975"
"LES AUTRES";"Muchnik Hugo SANTIAGO";"41615";"Tous publics";"FRANCE";"19/02/1975"
"LES GLOUTONNES";"Nesles dit brown DE";"41967";"Interdiction aux mineurs -16 ans";"FRANCE";"05/02/1975"
"LES MINETTES FONT LA QUEUE";"Ernst MARISCHKA";"42824";"Classement X (pornographique)";"ALLEMAGNE";"26/02/1975"
"LES NOCES DE CENDRE";"Larry PEERCE";"43686";"Tous publics";"ETATS-UNIS";"05/02/1975"
"LES PIRATES DU METRO";"Joseph SARGENT";"43940";"Tous publics";"ETATS-UNIS";"26/02/1975"
"LES SENTIERS DE LA GLOIRE";"Stanley KUBRICK";"43878";"Tous publics";"ETATS-UNIS";"02/03/1975"
