titreCommercial;realisateur;visa;mention;paysOrigine;dateSortie
"SAINT AMOUR";"Gustave KERVERN, Benoît DELÉPINE";"135930";"Tous publics";"BELGIQUE, FRANCE";"02/03/2016"
"SLEEPING GIANT";"Andrew CIVIDINO";"143705";"Tous publics";"CANADA";"17/02/2016"
"STEVE JOBS";"Danny BOYLE";"143831";"Tous publics";"ETATS-UNIS";"03/02/2016"
"SUNRISE";"Partho SEN-GUPTA";"138760";"Tous publics avec avertissement";"FRANCE, INDE";"02/03/2016"
"SUR LE PLANCHER DES VACHES";"Fabrice TEMPO";"112669";"Tous publics";"FRANCE";"17/02/2016"
"TEMPETE";"Samuel COLLARDEY";"135983";"Tous publics";"FRANCE";"24/02/2016"
"THE FINEST HOURS";"Craig GILLESPIE";"143821";"Tous publics";"ETATS-UNIS";"24/02/2016"
"THE MONKEY KING 2";"Cheang POU-SOI";"143931";"Tous publics";"CHINE";"10/02/2016"
"THE REVENANT";"Alejandro Gonzalez INARRITU";"143735";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"24/02/2016"
"UN JOUR AVEC, UN JOUR SANS";"Sang-Soo HONG ";"143853";"Tous publics";"CORÉE DU SUD";"17/02/2016"
"UN MARCHAND, DES ARTISTES ET DES COLLECTIONNEURS";"Jean-Luc LÉON";"87631";"Tous publics";"FRANCE";"02/03/2016"
"UN SOLEIL FROID EN ETE";"Mathieu GARI";"143444";"Tous publics";"FRANCE";"17/02/2016"
"UN VRAI FAUSSAIRE";"Jean-Luc LÉON";"140523";"Tous publics";"FRANCE";"02/03/2016"
"ZOOLANDER 2";"Ben STILLER";"143947";"Tous publics";"ETATS-UNIS";"02/03/2016"
"10 CLOVERFIELD LANE";"Dan TRACHTENBERG";"144039";"Tous publics avec avertissement";"ETATS-UNIS";"16/03/2016"
"13 HOURS";"Michael BAY";"143694";"Interdiction aux mineurs -12 ans";"ETATS-UNIS";"30/03/2016"
"A PERFECT DAY (UN JOUR COMME UN AUTRE)";"Fernando Leon DE ARANOA";"144077";"Tous publics";"ESPAGNE";"16/03/2016"
"ALIAS MARIA";"Jose Luis RUGELES";"143320";"Tous publics avec avertissement";"COLOMBIE, FRANCE";"09/03/2016"
"AU NOM DE MA FILLE";"Vincent GARENQ";"139165";"Tous publics";"ALLEMAGNE, FRANCE";"16/03/2016"
"AUX YEUX DE TOUS";"Billy RAY";"144038";"Tous publics avec avertissement";"ETATS-UNIS";"23/03/2016"
"BATMAN VS SUPERMAN : L'AUBE DE LA JUSTICE";"Zack SNYDER";"143978";"Tous publics avec avertissement";"ETATS-UNIS";"23/03/2016"
"BELGICA";"Felix VAN GROENINGEN";"140841";"Interdiction aux mineurs -12 ans";"BELGIQUE, FRANCE, PAYS-BAS";"02/03/2016"
"BLACK";"Adil EL ARBI, Bilall FALLAH";"144484";"Interdiction aux mineurs -16 ans";"BELGIQUE";"16/03/2016"
"BROOKLYN";"John CROWLEY";"143736";"Tous publics";"GRANDE-BRETAGNE";"09/03/2016"
"CELIBATAIRE, MODE D'EMPLOI";"Christian DITTER";"144026";"Tous publics";"ETATS-UNIS";"02/03/2016"
"C'EST L'AMOUR";"Paul VECCHIALI";"141949";"Tous publics";"FRANCE";"09/03/2016"
